"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"240454502","","","","","2007-09-01 04:38:34 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","""Yo banana boy"" IS the best palindrome ever! Thanks Ingo (and Clarita)!"
"237854162","","","","","2007-08-30 21:29:40 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Shopping depression hits!"
"237292372","","","","","2007-08-30 16:18:32 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","I want to buy everything at Paul Smith!"
"237014692","","","","","2007-08-30 13:54:13 +0000","web","I'm going to get lost in the Soho area today.  Tell me what to do, as long as it's easy and ridiculous and has no actual utility."
"233344332","","","","","2007-08-28 21:55:53 +0000","web","Lost all my contacts through faulty iPhone update and away from main computer.  Text me with your name please!  206-355-9718 Thx."
"225666552","","","","","2007-08-24 23:27:44 +0000","web","Best dessert ever: 2 scoops vanilla gelato dipped by the spoonful into an Irish coffee while listening to happy beats with the windows open."
"223514022","","","","","2007-08-23 23:52:04 +0000","web","I am your guru.  There is no guru!"
"214827332","","","","","2007-08-19 22:39:23 +0000","web","What's the noun word to describe something that makes you physically healthier?  Like nourishing but better."
"211919542","","","","","2007-08-18 01:07:06 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","I'm wearing a preppy schoolboy outfit for our Sunset Magazine photo shoot. Don't want to take it off!"
"200583072","","","","","2007-08-11 20:17:53 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Life is weird and amazing. It looks like it's all going to be alright after all."
"186680202","","","","","2007-08-04 17:28:22 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","On Lake Washington with food, beer, and strawberries!"
