"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"252641975088607233","","","252641467116441600","7362142","2012-10-01 05:31:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @kellianne: Tonight @nikobenson threw @busterbenson's nose out the window to San Francisco and then said, ""Go get your boogers!"""
"252638436996026370","","","","","2012-10-01 05:17:51 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","I remember really liking Mary from the Amazon days. Good interview. RT @carr2n: Mary Meeker talks shop with @wired http://t.co/kfHEm63u","http://bit.ly/StzaNt"
"252597501549498368","252596743458418688","10221","","","2012-10-01 02:35:12 +0000","web","Looks like my iOS 6 beta expired. Even though I couldn't upgrade via regular software updates. Lame! Thx @thatdrew @couch for the clue."
"252596481805139968","","","","","2012-10-01 02:31:08 +0000","web","My iPhone suddenly requires activation, and can't sync to iTunes or be restored to factory settings. Heard of this before?"
"252545309966749696","252544790372155393","4558","","","2012-09-30 23:07:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for  iPhone</a>","@harryh Damn spreadsheets are impossible to beat."
"252544331104280576","252537252259975168","4558","","","2012-09-30 23:03:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for  iPhone</a>","@harryh Awesome! Using anything in particular to track stuff?"
"252455924239839232","","","","","2012-09-30 17:12:37 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","? ABCs http://t.co/6MRIpIKz","http://youtu.be/xYrme7VIELs"
"252445972397957121","252444175407132672","20833838","","","2012-09-30 16:33:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for  iPhone</a>","@carinnatarvin I've been loving that app."
"252445226394849281","","","","","2012-09-30 16:30:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for  iPhone</a>","Wish I was hearing this! ""Some of the more interesting unsolved problems are health care, medicine, human behavior"" -@edyson at #MedX"
"252252916289765376","252249308127195136","7362142","","","2012-09-30 03:45:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for  iPhone</a>","@kellianne You bungled the URL. :)"
"252251360173649921","","","","","2012-09-30 03:39:45 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","8:36pm Trying to decide if Thomas is Really Useful or not  http://t.co/kjoW2uPs","http://instagr.am/p/QL0bZio0HS/"
"252205587864096769","","","","","2012-09-30 00:37:52 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","My weekend exercise routine!  Taken by @kellianne . http://t.co/0l3mHQsN","http://instagr.am/p/QLffdEo0BK/"
"252195151462686721","","","252194156376649728","914061","2012-09-29 23:56:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for  iPhone</a>","RT @levie: If no one thinks your idea is crazy, it probably sucks."
